10
1,Fahuwi
2,Losamu
3,Vuvaqu
4,Aqusod
5,Yiugaw
6,Hopunu
7,Veyofu
8,Tisipo
9,Zizomo
10,Niwapa
0,00,68,20,33,91,0,00,0,00,0,00,81,63,74,93,46,11,0,00
68,20,0,00,63,36,0,00,93,77,0,00,64,41,45,88,0,00,62,47
33,91,63,36,0,00,75,28,31,17,0,00,77,21,80,80,84,77,80,82
0,00,0,00,75,28,0,00,49,94,38,88,0,00,42,18,0,00,69,78
0,00,93,77,31,17,49,94,0,00,39,02,45,36,0,00,33,62,0,00
0,00,0,00,0,00,38,88,39,02,0,00,27,13,87,73,64,89,34,24
81,63,64,41,77,21,0,00,45,36,27,13,0,00,105,59,40,71,0,00
74,93,45,88,80,80,42,18,0,00,87,73,105,59,0,00,40,18,51,67
46,11,0,00,84,77,0,00,33,62,64,89,40,71,40,18,0,00,55,56
0,00,62,47,80,82,69,78,0,00,34,24,0,00,51,67,55,56,0,00
